,ProteinID,126 Vert Med,127n Vert Med,127c Vert Med,128n Vert Med,128c Vert Med,129n Vert Med,batch_p_value,null_batch_p_value,1 vs 2,i_value,BH_value,Significant?,PepPerProt
1047,YFR011C,144961.6175,138333.2259,139278.0536,347394.6743,362558.09,346302.0944,1.58E-06,0.565506026,3.03E-06,68,8.11E-05,TRUE,4
3228,YPL013C,157072.725,163161.6083,159699.6877,332098.6987,331255.238,344638.6782,1.60E-06,0.478904109,2.97E-06,69,8.09E-05,TRUE,2
1713,YJL063C,175715.0765,176410.6945,180796.53,323685.9054,326158.4977,315324.7461,1.63E-06,0.550149792,2.44E-06,70,8.11E-05,TRUE,5
63,YBL015W,112247.8791,109109.6772,117238.9999,361853.1944,382088.242,381742.1911,1.66E-06,0.557713935,3.19E-06,71,8.13E-05,TRUE,13
1493,YHR089C,204846.3603,201907.8727,205196.6066,296029.3776,299958.8349,303506.2928,1.66E-06,0.543778299,2.34E-06,72,8.03E-05,TRUE,5
1364,YGR215W,107793.4587,101259.1004,102281.7432,377172.8533,400274.4018,371043.0319,1.69E-06,0.566743364,6.82E-06,73,8.08E-05,TRUE,2
1743,YJL125C,164148.6769,172023.9865,168125.1813,334417.7993,326128.4103,327533.429,1.73E-06,0.475897268,1.22E-06,74,8.12E-05,TRUE,3
2687,YNL041C,363148.2545,365040.9974,347075.7504,170028.424,173125.7006,172934.7067,1.75E-06,0.533787704,5.54E-06,75,8.10E-05,TRUE,4
1966,YKL112W,344895.2723,349694.6307,333814.0409,185400.0394,186031.8028,183519.2328,1.76E-06,0.539904294,4.95E-06,76,8.08E-05,TRUE,4
178,YBR092C,501015.3701,493674.835,445536.8477,68494.27408,74581.51331,70186.49162,1.80E-06,0.510029302,1.98E-05,77,8.16E-05,TRUE,6
1767,YJL167W,201814.6023,199756.7877,198798.6696,307179.1202,298071.4787,303408.9038,1.87E-06,0.488981928,3.23E-06,78,8.34E-05,TRUE,17
127,YBR012W-B,552822.6822,531421.282,486915.4713,31792.51131,38032.5591,35274.37685,1.88E-06,0.496567966,1.50E-05,79,8.29E-05,TRUE,24
2496,YMR043W,207346.7022,208655.3571,210590.3679,295774.9606,299519.9236,292359.8826,1.94E-06,0.55309835,2.78E-06,80,8.45E-05,TRUE,1
152,YBR054W,429960.5402,429891.3553,477636.8682,99778.0657,101417.0838,101679.379,1.97E-06,0.495413434,2.68E-05,81,8.48E-05,TRUE,3
1188,YGL191W,48921.38452,46868.59932,55367.10161,419328.042,424366.5533,436297.3661,1.98E-06,0.546042862,3.04E-07,82,8.42E-05,TRUE,6
2796,YNL209W,349544.5236,352194.4974,354039.6982,174820.9665,174743.6794,183379.2144,1.99E-06,0.54124532,6.38E-07,83,8.35E-05,TRUE,5
1381,YGR250C,200833.2371,197629.9287,199859.2056,299954.9904,309007.1269,302032.885,2.05E-06,0.576127821,3.56E-06,84,8.48E-05,TRUE,3
3287,YPL118W,139481.2464,142116.0739,148528.3462,348767.1439,343754.5691,356989.5785,2.07E-06,0.510158359,1.61E-06,85,8.47E-05,TRUE,3
2987,YOL127W,351694.2466,348087.0016,357079.1703,177460.227,182288.5513,173043.3663,2.14E-06,0.470199353,1.25E-06,86,8.65E-05,TRUE,15
3453,YPR155C,204063.4197,199166.4649,204909.8149,299121.045,300483.4207,303121.1307,2.16E-06,0.555771114,1.35E-06,87,8.64E-05,TRUE,1
783,YDR457W,320552.384,319808.4485,316257.6686,201438.3317,204621.4206,208567.7198,2.19E-06,0.527280223,1.28E-06,88,8.66E-05,TRUE,18
244,YBR197C,355732.1887,375311.7767,360191.8327,171126.7042,165835.9567,166249.2404,2.20E-06,0.568900561,5.83E-06,89,8.62E-05,TRUE,1
2974,YOL096C,130010.0986,129499.4545,139226.1037,363422.2435,355439.3903,356923.3648,2.21E-06,0.534019226,5.91E-07,90,8.54E-05,TRUE,1
3203,YOR354C,175602.9928,171304.7236,169246.9117,327613.9707,318845.234,331465.8186,2.24E-06,0.494566269,3.24E-06,91,8.57E-05,TRUE,8
453,YDL124W,437697.5814,429239.0461,409887.3932,111007.8591,117233.077,121160.5717,2.25E-06,0.520206396,3.82E-06,92,8.50E-05,TRUE,19
827,YDR529C,42516.06515,46150.03411,50694.54159,432208.1321,412409.9678,444242.8781,2.27E-06,0.504588716,2.33E-06,93,8.49E-05,TRUE,5
1413,YHL004W,149749.1585,146536.1792,142514.0388,355508.3667,336728.0094,349349.2163,2.28E-06,0.486094148,4.47E-06,94,8.43E-05,TRUE,3
2438,YML081C-A,121965.3055,129351.6309,132435.9235,362724.2689,368200.4027,357461.664,2.29E-06,0.52172313,7.30E-07,95,8.38E-05,TRUE,2
122,YBR006W,189134.7464,195072.369,188614.7146,310782.2996,307263.8512,313252.5316,2.34E-06,0.462046146,1.57E-06,96,8.49E-05,TRUE,4
1446,YHR023W,336854.1712,336906.8629,331102.1572,187389.966,191465.5544,195842.7849,2.34E-06,0.528965416,1.32E-06,97,8.40E-05,TRUE,9
549,YDR038C,426465.9277,435744.5947,402047.346,117775.206,116777.5032,124598.6354,2.35E-06,0.560786614,8.23E-06,98,8.34E-05,TRUE,3
2900,YNR035C,269570.1073,269408.3,269318.7288,246760.8118,244802.2222,245705.3447,2.41E-06,0.556082061,2.02E-06,99,8.49E-05,TRUE,6
2483,YMR015C,138208.8685,133082.0095,133946.8489,341577.5808,366265.0715,362558.821,2.50E-06,0.557356272,9.34E-06,100,8.71E-05,TRUE,15
455,YDL126C,313997.5133,305667.6327,308468.4337,213515.6418,214413.1013,210573.1062,2.59E-06,0.473601694,3.70E-06,101,8.93E-05,TRUE,38
2058,YKR046C,50983.43395,51460.07229,58488.5874,440151.9887,398966.6911,431738.2072,2.69E-06,0.510763359,8.52E-06,102,9.17E-05,TRUE,7
2507,YMR068W,167476.1898,168320.4263,169507.7305,318489.2041,337064.5766,332301.4108,2.70E-06,0.551609551,8.75E-06,103,9.14E-05,TRUE,1
1366,YGR218W,321628.773,322319.8441,313075.7812,204653.9911,207161.528,202408.2113,2.72E-06,0.51635211,4.02E-06,104,9.09E-05,TRUE,20
172,YBR085C-A,194267.5286,193668.6592,196564.8046,307048.1366,313590.2123,301922.1519,2.73E-06,0.569696194,5.49E-06,105,9.05E-05,TRUE,1
2498,YMR049C,231901.4576,233070.8066,232559.2787,274092.1705,276536.7745,278116.1137,2.74E-06,0.512189989,3.60E-06,106,8.99E-05,TRUE,23
3048,YOR087W,297888.0024,300905.1242,293286.6962,222640.0554,222162.1267,222988.3725,2.74E-06,0.562122848,4.70E-06,107,8.92E-05,TRUE,2
1873,YJR121W,124163.3058,121078.4872,131793.9468,372440.0029,364152.2634,357308.9303,2.79E-06,0.548925313,1.57E-06,108,8.99E-05,TRUE,17
1239,YGR021W,116660.1072,117854.6836,126617.7081,359269.2924,376734.8129,371262.9639,2.81E-06,0.552066352,2.08E-06,109,8.97E-05,TRUE,1
1976,YKL129C,314539.1977,312923.1357,314285.9723,207643.1552,213521.8782,206267.9717,2.88E-06,0.467490203,1.34E-06,110,9.13E-05,TRUE,7
943,YER088C,174298.2147,172182.342,169234.358,317602.2823,326846.431,334163.7534,2.98E-06,0.519835591,6.63E-06,111,9.34E-05,TRUE,4
2072,YKR070W,365391.0813,358453.8702,351527.4519,176760.2453,172432.7547,167257.5151,2.98E-06,0.516991045,2.75E-06,112,9.26E-05,TRUE,4
1893,YJR148W,438709.9968,468416.7769,438215.7045,91266.79451,102038.6423,99777.50539,3.00E-06,0.518796217,4.81E-06,113,9.23E-05,TRUE,15
2008,YKL183W,92071.03017,91881.24585,95018.96035,368836.3764,386766.9911,418320.2483,3.02E-06,0.520115752,3.30E-05,114,9.22E-05,TRUE,1
960,YER118C,217347.3629,217412.0206,218860.6341,292158.2888,287854.2815,285088.34,3.02E-06,0.520372302,4.84E-06,115,9.15E-05,TRUE,1
1985,YKL145W,287868.1072,283307.0936,284713.1067,232840.9836,233704.5643,231546.2135,3.02E-06,0.470613368,3.81E-06,116,9.08E-05,TRUE,15
1009,YFL010C,385680.0733,407217.4352,379430.5085,140919.5463,148617.8439,146335.2275,3.11E-06,0.536097123,9.47E-06,117,9.25E-05,TRUE,3
993,YER170W,63332.64581,65094.20486,71852.88108,431370.4874,419788.467,389060.4849,3.17E-06,0.538767622,1.14E-05,118,9.35E-05,TRUE,1
1513,YHR121W,175033.653,175855.5339,179845.9304,313407.9178,326706.3088,326714.213,3.17E-06,0.548662334,6.38E-06,119,9.28E-05,TRUE,7
662,YDR234W,207026.0001,209168.8758,208077.7925,291082.7187,299238.3607,298997.7345,3.18E-06,0.529997913,5.59E-06,120,9.21E-05,TRUE,15
3080,YOR131C,206685.8135,210066.6519,212475.6228,295754.8528,292370.6211,297048.0448,3.30E-06,0.491478808,2.56E-06,121,9.51E-05,TRUE,3
705,YDR320C,337366.3835,345128.8015,327430.848,190343.4262,190947.4141,188858.6541,3.31E-06,0.551158428,9.13E-06,122,9.43E-05,TRUE,3
853,YEL038W,351770.7762,353222.8765,356928.9491,181842.9721,170515.7278,175541.7671,3.32E-06,0.556393775,1.02E-06,123,9.40E-05,TRUE,4
2479,YMR009W,153952.8415,159669.8531,163569.1609,336493.1052,330828.29,343267.0149,3.38E-06,0.493268651,2.57E-06,124,9.49E-05,TRUE,3
376,YCR087C-A,465592.286,431760.9461,442485.0704,101172.5292,92791.78532,104193.458,3.39E-06,0.53945563,5.08E-06,125,9.44E-05,TRUE,2
2122,YLL058W,518908.7791,511740.9988,506684.82,39354.37357,46854.43643,48931.33294,3.40E-06,0.502855722,5.56E-08,126,9.40E-05,TRUE,1
2116,YLL040C,340577.1329,348099.447,335683.6207,181393.8351,188426.3612,188696.199,3.42E-06,0.529739852,3.61E-06,127,9.37E-05,TRUE,20
2845,YNL284C,136627.7777,136387.0146,144980.4149,362959.5222,354125.3049,343033.2902,3.57E-06,0.541613889,4.83E-06,128,9.72E-05,TRUE,4
933,YER075C,188894.3939,182898.2012,190998.9489,314903.812,315790.2993,309768.298,3.61E-06,0.576335052,2.11E-06,129,9.73E-05,TRUE,3
3015,YOR017W,190815.2202,181731.6608,186334.5676,316889.6351,312881.2832,313481.5197,3.64E-06,0.552945464,1.58E-06,130,9.74E-05,TRUE,1
576,YDR087C,222607.2601,224767.9092,220024.649,283749.8712,286255.4305,283518.5776,3.67E-06,0.504134198,2.83E-06,131,9.76E-05,TRUE,6
628,YDR175C,127534.5521,130193.4552,132762.4985,350637.9899,380254.2982,352514.0582,3.71E-06,0.564963166,1.84E-05,132,9.79E-05,TRUE,1
333,YCL064C,332476.5847,336893.7332,320714.4599,195136.7253,195864.1543,195513.4931,3.76E-06,0.551681115,9.91E-06,133,9.85E-05,TRUE,19
1150,YGL112C,372128.1003,367110.3091,371819.8428,156497.5448,169334.021,162027.6245,3.78E-06,0.466426091,8.70E-07,134,9.82E-05,TRUE,6
48,YAR010C,544088.4153,573173.5464,477850.8331,24679.1713,27951.7992,30748.86087,3.82E-06,0.539874956,5.81E-05,135,9.86E-05,TRUE,25
200,YBR122C,179110.5816,179300.3324,172457.7146,320709.3005,316354.6047,328602.7453,3.84E-06,0.474507504,4.34E-06,136,9.83E-05,TRUE,3
3222,YPL004C,160120.7635,150613.4048,158917.8028,343166.3058,342112.3234,332100.9666,3.86E-06,0.574178291,2.45E-06,137,9.80E-05,TRUE,6
2095,YLL001W,221620.2739,226009.3635,224658.0605,284866.4781,283104.3157,281644.2128,3.93E-06,0.48588763,3.19E-06,138,9.91E-05,TRUE,7
2577,YMR193W,140609.3848,138463.5991,150335.3464,352307.4859,347870.4452,350385.59,3.94E-06,0.545124003,7.32E-07,139,9.86E-05,TRUE,3
2164,YLR069C,134218.7186,130001.8901,141749.808,354331.4822,364810.3548,351283.6929,3.98E-06,0.576651968,2.03E-06,140,9.90E-05,TRUE,7
961,YER120W,290820.0064,288937.5924,290523.0585,228071.7733,231645.8682,226642.1256,4.00E-06,0.458847575,2.76E-06,141,9.89E-05,TRUE,5
2032,YKL215C,328973.9866,320655.955,316042.7552,203163.5412,204066.8224,199914.3089,4.01E-06,0.496362235,7.39E-06,142,9.83E-05,TRUE,14
1766,YJL166W,38578.35534,42854.88315,47780.12085,416403.6979,428169.1569,453222.9297,4.12E-06,0.516012423,4.05E-06,143,0.000100358,TRUE,3
2300,YLR312W-A,142325.4882,143023.0626,152983.5407,350820.073,351251.8087,341419.7635,4.16E-06,0.550920017,1.77E-06,144,0.000100551,TRUE,3
888,YER017C,189646.3955,195748.5194,188718.7275,310200.3788,305697.2133,314236.8059,4.17E-06,0.452900501,3.61E-06,145,0.000100162,TRUE,8
3369,YPL273W,186335.8808,179861.3236,185480.6426,309816.7841,317764.3858,321769.9961,4.20E-06,0.562796061,5.23E-06,146,0.000100171,TRUE,11
1591,YIL051C,330532.5691,335603.0301,321683.6783,196492.4334,193035.9999,198788.1868,4.24E-06,0.580016078,7.08E-06,147,0.000100467,TRUE,13
2040,YKR009C,69080.24679,66840.89025,78156.96478,410311.4012,396004.2498,421330.6457,4.28E-06,0.534885467,1.98E-06,148,0.000100629,TRUE,2
1570,YIL015W,36708.3257,36517.56934,45039.02734,427818.0445,447311.9834,432835.9686,4.34E-06,0.555560749,4.28E-07,149,0.000101493,TRUE,2
3296,YPL132W,148601.2149,150771.0456,138976.3366,349344.4432,345193.1995,347524.3721,4.35E-06,0.480570638,7.76E-07,150,0.000101039,TRUE,1
278,YBR251W,147966.0186,147464.935,157377.9809,340849.8701,338298.8331,351787.3803,4.53E-06,0.527161635,3.28E-06,151,0.000104537,TRUE,3
1469,YHR052W,190287.7744,195205.9294,193548.2908,313531.0836,301714.6976,310970.6821,4.55E-06,0.455830614,7.44E-06,152,0.000104298,TRUE,11
2381,YLR452C,380964.3113,370529.8914,371486.5884,153468.7779,166398.3979,157904.256,4.56E-06,0.463605797,1.81E-06,153,0.000103873,TRUE,8
2069,YKR066C,225976.075,227760.1751,226438.8373,278489.3537,284177.3563,280536.1811,4.59E-06,0.546259281,6.37E-06,154,0.000103753,TRUE,12
1406,YGR283C,201167.345,206430.2847,200337.4486,297142.6588,300843.1723,304473.1838,4.62E-06,0.478303217,4.23E-06,155,0.000103768,TRUE,3
2563,YMR169C,137438.6755,136819.1187,147101.4424,357561.7816,342428.3442,356758.8621,4.65E-06,0.516966444,3.69E-06,156,0.000103749,TRUE,7
1371,YGR232W,575239.9386,537522.6322,541704.8762,10243.94089,14795.91963,13438.39037,4.66E-06,0.477505403,1.48E-06,157,0.000103316,TRUE,1
2565,YMR173W,393833.0611,410409.2191,394464.5189,130607.4118,143473.2218,140610.2667,4.66E-06,0.510061547,2.55E-06,158,0.000102751,TRUE,5
1462,YHR042W,322265.6334,323555.3351,311391.6228,206361.079,202658.6028,204678.6046,4.70E-06,0.566731772,8.89E-06,159,0.00010293,TRUE,21
1334,YGR174C,152584.9437,144614.4622,151889.8737,352098.7363,332360.1279,349022.4062,4.71E-06,0.517930971,8.04E-06,160,0.00010243,TRUE,1
2646,YMR298W,388723.0854,387896.26,404932.0622,148298.0641,145969.8586,135970.5362,4.71E-06,0.490205137,3.08E-06,161,0.000101833,TRUE,1
3398,YPR051W,355612.5263,358516.8641,353182.6768,168197.3299,174170.8212,180813.2344,4.76E-06,0.529983227,1.35E-06,162,0.000102417,TRUE,3
725,YDR353W,326599.5894,332597.2177,316658.6495,200554.876,198514.1435,199172.9832,4.80E-06,0.568868309,1.14E-05,163,0.00010245,TRUE,20
2777,YNL177C,118815.9322,112802.8895,123826.1774,380241.8261,376482.2946,355359.6721,4.84E-06,0.570042035,7.24E-06,164,0.000102784,TRUE,2
1197,YGL206C,294690.5051,298736.4255,292247.6088,225820.5063,222024.4045,225212.2868,4.95E-06,0.592712182,5.83E-06,165,0.000104408,TRUE,42
1830,YJR055W,420418.6614,444014.9445,426938.7459,105302.5358,119662.0261,113377.3996,4.95E-06,0.50001842,2.61E-06,166,0.000103827,TRUE,3
3384,YPR024W,192908.2106,192846.3995,194773.0035,314056.768,300166.4891,310813.1904,4.96E-06,0.475531644,1.11E-05,167,0.000103417,TRUE,12
3249,YPL057C,150773.7828,143040.9409,155041.373,344081.7031,350673.8127,340108.8656,4.96E-06,0.585152592,1.96E-06,168,0.000102885,TRUE,1
1454,YHR032W,22416.65462,21360.89099,28317.32508,437089.3743,443710.231,464216.0401,5.03E-06,0.549843524,9.40E-07,169,0.000103674,TRUE,1
324,YCL043C,287748.3319,292863.7142,288384.4184,226992.0733,230119.6528,229991.1178,5.04E-06,0.543163716,5.83E-06,170,0.000103265,TRUE,30
417,YDL066W,226158.6939,225913.9761,226612.9505,280567.221,278683.2943,284931.3395,5.07E-06,0.486109454,7.72E-06,171,0.000103239,TRUE,24
1065,YFR040W,287671.6055,287113.1943,291183.4365,227753.5257,231950.9178,230290.331,5.08E-06,0.466178538,4.88E-06,172,0.000102743,TRUE,9
831,YDR539W,202658.767,197219.4104,201233.2185,308552.4019,300932.0996,298950.932,5.19E-06,0.540211259,6.81E-06,173,0.000104537,TRUE,6
