,ProteinID,126 Vert Med,127n Vert Med,127c Vert Med,128n Vert Med,128c Vert Med,129n Vert Med,batch_p_value,null_batch_p_value,1 vs 2,i_value,BH_value,Significant?,PepPerProt
2765,YLR395C,333818.8437,318527.7016,337969.6162,863618.6375,837169.6705,780206.6637,1.26E-05,0.567271579,3.97E-05,85,0.000612031,TRUE,1
393,YCL057C-A,384900.2184,408843.946,414944.6881,765143.9941,779798.6912,755360.3754,1.30E-05,0.522252528,6.15E-06,86,0.000623372,TRUE,2
3562,YOR020W-A,368162.5165,372800.2928,372262.4471,767997.1061,840856.7006,774095.8446,1.30E-05,0.582841033,5.48E-05,87,0.000616238,TRUE,1
1942,YIL136W,264450.6556,266723.841,302189.3849,880599.8721,875934.6837,854911.1722,1.31E-05,0.555120806,2.17E-06,88,0.000611775,TRUE,9
1731,YHR050W,907143.766,844597.0925,881756.6802,359869.8952,392534.7491,369154.585,1.34E-05,0.431337975,1.66E-05,89,0.000621311,TRUE,2
1265,YFR032C-A,791550.31,766862.3839,811422.4644,456306.9627,448750.7667,433672.1778,1.35E-05,0.466031494,1.88E-05,90,0.00061691,TRUE,1
2912,YMR003W,289527.2533,267390.3325,267384.2725,879830.9548,926159.3682,816599.3593,1.38E-05,0.586623371,5.15E-05,91,0.000623982,TRUE,1
3547,YOL151W,773987.7137,760840.4422,736732.9521,475421.7529,479949.069,462006.6252,1.39E-05,0.499609836,1.98E-05,92,0.000622157,TRUE,12
2709,YLR312W-A,458773.9664,479351.1506,472108.088,721904.6511,711400.6848,697868.7534,1.40E-05,0.481265736,1.28E-05,93,0.000618316,TRUE,7
1113,YER069W,423915.2008,439784.4389,436948.0589,741434.9546,764540.8401,718836.1191,1.42E-05,0.547139552,2.57E-05,94,0.000621004,TRUE,7
3284,YNL194C,349057.879,380147.9355,366233.2049,772233.1623,822842.3481,799535.2679,1.42E-05,0.508437668,1.47E-05,95,0.000615682,TRUE,1
2327,YKL130C,701212.772,723747.5635,721843.7677,500693.3824,516182.0465,505531.5971,1.43E-05,0.505289683,1.68E-05,96,0.000614988,TRUE,5
2445,YKR076W,388433.7301,414492.02,419713.4818,757728.9986,756901.1941,771849.7952,1.46E-05,0.485778328,5.17E-06,97,0.000621478,TRUE,1
1025,YEL024W,202195.8263,202240.0583,234813.2331,916212.4456,980385.6906,881478.4067,1.51E-05,0.585999496,2.10E-05,98,0.000633449,TRUE,11
70,YBL005W-A,1293736.704,1317017.618,1078779.628,67147.01942,72959.81688,91015.35388,1.52E-05,0.558190362,0.000111108,99,0.000630339,TRUE,2
