,ProteinID,126 Vert Med,127n Vert Med,127c Vert Med,128n Vert Med,128c Vert Med,129n Vert Med,batch_p_value,null_batch_p_value,1 vs 2,i_value,BH_value,Significant?,PepPerProt
3543,YNL083W,280800.5722,276402.0405,277910.1108,910922.7883,848411.3048,878533.3741,6.71E-07,0.497122255,4.90E-06,52,5.89E-05,TRUE,4
1947,YHR087W,224323.0071,228112.6028,243159.2013,907804.877,928532.6055,917615.9899,6.96E-07,0.536445402,1.28E-07,53,5.99E-05,TRUE,4
2278,YJL104W,496988.3784,506828.875,499237.5988,705568.5608,700985.6889,701345.5797,7.14E-07,0.482674427,4.41E-07,54,6.03E-05,TRUE,6
769,YDR089W,745790.9992,756396.5762,739149.348,508082.1839,507180.3174,503524.1685,7.24E-07,0.543134822,1.31E-06,55,6.01E-05,TRUE,14
493,YCR069W,323501.0024,334124.8777,341315.8988,841882.781,824386.1543,843777.347,7.35E-07,0.501158391,3.92E-07,56,5.99E-05,TRUE,12
2218,YJL020C,822939.5976,842520.3153,822848.1961,440953.7754,447731.0114,434160.0702,7.43E-07,0.519351358,8.88E-07,57,5.95E-05,TRUE,45
4029,YOR154W,534594.9543,536230.0837,535343.8577,679413.7267,676761.3197,669760.0864,7.45E-07,0.52110306,1.13E-06,58,5.86E-05,TRUE,4
2018,YHR174W,782392.5454,799042.4314,786360.7661,479719.9155,468170.6464,470400.7913,7.98E-07,0.557478992,8.49E-07,59,6.17E-05,TRUE,388
3870,YOL096C,326958.8081,316193.78,333394.9239,845326.3373,856433.1595,827797.9205,8.30E-07,0.560852843,7.47E-07,60,6.31E-05,TRUE,3
2810,YLR050C,389944.3553,406005.3323,400617.5329,776406.7474,785296.9189,791235.6806,8.38E-07,0.497151102,4.52E-07,61,6.27E-05,TRUE,4
2665,YKR010C,729393.7703,725955.6388,721848.7498,522172.9958,529047.7643,519114.6244,8.57E-07,0.490912019,6.40E-07,62,6.31E-05,TRUE,5
87,YBL015W,284113.1283,294731.378,305037.0764,877849.2668,865683.2156,859565.6458,9.26E-07,0.516351798,2.37E-07,63,6.70E-05,TRUE,23
1459,YGL053W,1291650.737,1386286.4,1181337.385,68791.36175,74724.04081,76763.55611,9.31E-07,0.537053198,3.37E-05,64,6.63E-05,TRUE,1
2864,YLR118C,825303.6149,797670.8397,800620.113,454249.0899,459137.8417,458916.9122,9.46E-07,0.493576895,2.49E-06,65,6.64E-05,TRUE,4
2484,YKL008C,994699.9752,1021797.137,953457.2507,305075.1849,317125.3234,313174.1982,9.67E-07,0.530403417,4.68E-06,66,6.68E-05,TRUE,4
2360,YJR004C,1329270.134,1355186.258,1344260.861,28461.21981,36643.1442,30382.57802,1.01E-06,0.486588133,7.94E-09,67,6.86E-05,TRUE,5
1174,YER001W,385143.9224,375338.4483,393859.8391,791548.4948,791104.6736,803522.7274,1.04E-06,0.54261369,4.30E-07,68,6.96E-05,TRUE,31
2771,YLL051C,333111.9125,341744.5022,324397.283,833522.1703,820751.8489,853118.4156,1.04E-06,0.476993828,1.21E-06,69,6.86E-05,TRUE,2
1632,YGR021W,304742.9434,319007.0007,325216.7643,859332.274,850361.281,841618.2023,1.04E-06,0.510937456,2.91E-07,70,6.77E-05,TRUE,4
2550,YKL087C,447812.7031,437786.391,432373.1582,745129.0172,753970.9832,755373.7517,1.10E-06,0.530041036,5.96E-07,71,7.08E-05,TRUE,4
4127,YOR286W,790963.0415,815537.9855,789994.1561,462448.1194,468936.9801,464227.8086,1.11E-06,0.540051862,2.61E-06,72,7.00E-05,TRUE,9
4039,YOR164C,721371.6572,728980.2254,723924.0832,520022.8101,530519.3253,522816.2912,1.11E-06,0.503267457,8.20E-07,73,6.96E-05,TRUE,10
1843,YHL004W,376011.6463,375637.0907,369240.0584,792972.2868,790146.1028,827503.3209,1.13E-06,0.493585154,3.88E-06,74,6.98E-05,TRUE,15
1476,YGL071W,807439.7435,791395.1701,798388.5814,467381.7933,471383.2971,456235.2774,1.17E-06,0.481024712,8.52E-07,75,7.09E-05,TRUE,3
3866,YOL092W,827793.1178,811008.3348,819904.042,457430.5331,439992.9875,447362.1331,1.18E-06,0.530767396,7.58E-07,76,7.08E-05,TRUE,3
2537,YKL072W,871875.6101,846380.0161,838938.1356,420967.4984,429172.6337,415572.6076,1.22E-06,0.488721661,2.30E-06,77,7.22E-05,TRUE,4
1204,YER030W,979153.178,940030.7008,939064.9,337601.2373,353380.9176,334574.6605,1.23E-06,0.478922068,1.86E-06,78,7.18E-05,TRUE,7
4527,YPR155C,469071.2021,461101.5665,462997.9482,726829.9096,744128.7662,725198.9545,1.25E-06,0.565384297,2.10E-06,79,7.20E-05,TRUE,12
14,YAL011W,491350.1465,495208.7386,486797.9464,719071.8269,705479.824,706343.2608,1.26E-06,0.482988966,1.65E-06,80,7.20E-05,TRUE,4
1805,YGR247W,792028.9668,801723.7295,805598.5123,473162.8845,465007.5982,456218.7977,1.28E-06,0.522013793,7.69E-07,81,7.22E-05,TRUE,4
1332,YER190W,1083034.871,1046862.194,1051600.506,242700.7994,256505.7121,268065.3257,1.29E-06,0.508613875,4.76E-07,82,7.18E-05,TRUE,1
1797,YGR235C,425859.8133,417331.6452,430112.6519,756109.8179,778035.6789,758492.6625,1.29E-06,0.572250187,1.74E-06,83,7.09E-05,TRUE,4
