MS2 Ratio,MS3 Ratio
0.061312821,0.445614644
-0.095709879,-0.112861647
-0.088472905,-0.10218598
-0.234792369,-0.120308671
0.343064196,0.427382427
0.206634854,0.825657909
-0.22767906,-0.288666054
0.08596169,-0.237066431
0.447619588,-0.28129526
-0.117224254,-0.398598928
0.245987538,0.287929498
0.075858955,-0.374259577
1.200741843,2.263080959
-0.148069566,-0.319933732
0.295984544,0.324343449
-0.203824386,-0.218300955
0.659924711,0.847682005
-0.101233414,0.17667068
-0.116162227,0.092697423
0.229393035,0.28686674
0.157720942,0.096869189
0.090880121,0.098486357
-0.087704857,-0.460183151
-0.357429712,-0.627123223
0.937404029,1.40725865
0.023480997,-0.160245576
0.272202202,0.33691458
-0.031961247,0.118147856
0.040624949,1.229287499
-0.06098351,-0.036316762
0.870135895,1.220604157
1.825458257,1.529028148
0.039912375,-0.047951358
-0.70712273,-0.327468972
0.051817996,-0.104385414
0.158860214,0.2228201
0.005987784,-0.029304861
-0.984877972,-1.923745655
0.524870706,0.593543204
0.498381573,0.87453602
-0.509923561,0.163765172
0.534708026,0.13601558
-0.421659178,-1.065494261
0.423215216,1.13656
0.50976842,0.41571276
-0.150341916,-0.32662511
0.425384902,0.262644169
-0.558643849,0.36552277
0.211784467,0.018366354
-0.906236476,-3.119753159
0.260647086,0.251496869
0.294123089,0.281124384
-0.280235428,-0.416404003
-0.641867965,-0.48589432
0.319267698,-0.102320783
0.267362603,0.306537551
0.241320787,0.704270276
-0.02859054,0.047960736
-0.944293223,-1.165883136
-0.378117802,0.027251444
0.237617207,-0.296481486
0.00181205,-0.063344813
-0.220199261,-0.024200819
-0.277554944,-0.001053517
-0.119771014,0.009886514
-0.486307943,-0.761274195
0.521074547,1.335330088
0.08317719,0.124710476
1.391049719,1.435605562
-0.305174483,-0.318478721
-0.623079923,-0.531085808
0.727447947,1.30974391
-0.308746578,-0.463195047
0.470097732,0.138399402
0.06444267,0.103109962
-0.104372044,0.095795124
-0.505902959,-0.606768349
-1.126035325,-1.699142655
-0.242514118,-0.232308499
-0.227580271,-0.398088943
0.266999514,0.279973962
0.100121407,-0.140419348
0.147779667,-0.038328724
-0.343226403,-0.470155202
-0.101582238,-0.095413253
0.625867877,0.748661881
0.119963831,0.440531515
-0.183445833,-0.205095506
0.428060824,0.549742957
-1.456636261,-2.309102185
-0.053579192,0.050105554
0.048646053,-0.205835808
0.236437996,0.14484771
-0.981521985,-1.703487917
0.32614832,0.207847129
0.251309823,-0.694458785
-0.010024537,0.035640764
-0.294413531,-0.304891755
-0.163648097,-0.221008796
-0.423718978,-0.501647468
1.009354842,1.652713033
0.174810718,0.199527612
0.140362107,0.028575657
-1.771893428,-2.212188412
-0.010472598,-0.304129739
-0.180967494,-0.112351142
0.636501069,0.669883863
-0.19762771,-0.191115913
0.278993615,1.404690362
-1.27882087,-1.483698136
-2.430722248,-2.357051447
-0.181005253,-0.066554097
-0.243542278,-0.289534063
-0.375324802,-0.500630394
-0.322095119,-0.418218032
-0.055794554,0.072491594
-0.011707687,0.082336857
0.023725884,0.170925322
-0.726229192,-0.401464209
1.389832014,0.159377036
0.182319573,0.698134872
-0.148743831,-0.830323279
0.263359415,0.078799553
-0.294516925,-0.136553492
0.011343727,-0.114660877
-0.719512075,-0.414663793
0.194771153,-0.097265451
0.110677239,0.482741624
2.242540647,2.995628299
0.955496924,2.586251139
0.269713054,-0.032869327
0.165114017,-0.020631376
