Yeast,Yeast + Human
-0.383322625,0.503892943
-1.211186897,-0.934638628
0.379382166,0.366854467
-0.781953372,-0.963793609
0.023295191,-0.226752057
0.2766823,0.214423217
0.195965404,0.301118601
-0.60833353,-0.277332931
-0.054823882,-0.274031374
0.021338455,-0.037338605
0.036523637,-0.112250835
-0.23208583,-0.426305966
0.01406933,-0.086174628
0.713509083,0.491761263
0.518841286,0.741877991
1.166024039,1.188872522
1.005115231,1.07931221
-0.630371144,-0.634376477
0.074902581,-0.109054411
-0.424761566,-0.844157295
-0.044945403,-0.014703684
0.289093708,0.240036826
0.441436911,0.183120027
-1.189269287,-0.260862869
-0.825037942,-0.710515835
0.330475559,0.060728757
1.065025957,1.086267254
-0.444647182,-0.086221206
0.131116353,0.15967259
0.23959584,0.20179361
0.053284228,-0.166480042
0.27405893,0.340503978
0.155514633,0.479804896
-0.125690307,-0.086859286
-0.471755289,-1.056935304
0.684902851,0.790126503
0.299959233,0.349588249
-0.399014598,-0.263298391
-0.241070381,0.028695282
-0.350575564,-0.589130564
0.99797155,1.467787624
0.650256039,0.453278989
-2.049523846,-2.499427194
-0.238952526,-0.339041354
0.003559847,0.068881122
-0.00957594,0.03325229
-0.262649002,-0.211760592
0.011645118,0.047156676
0.943512172,1.300459457
0.119639892,-0.054046119
0.287821959,-0.787458056
0.14852333,0.679103739
0.245162572,0.155461732
-0.199626788,-0.244237887
-0.044929509,-0.065271547
0.522022101,1.081009602
-0.609816451,-0.596449213
-0.033361358,-0.109197373
0.688755865,0.407756601
0.257634007,0.246380248
0.042077029,-0.283030373
0.061353964,-0.042173115
-0.371803059,0.059528525
-0.46852381,-0.273622568
-0.121503826,-0.354524111
-0.364606635,-0.198245571
-0.416481309,-0.636241902
1.503440644,1.551509697
0.035644391,-0.321207465
0.009173393,-0.204834455
-0.453877196,-0.013151762
-0.083289084,0.16436773
0.924909401,1.407156501
-0.125683142,-0.179101139
1.845929158,1.874872975
0.727076716,0.486344118
0.341504618,-0.285569299
0.143825595,0.059233913
-0.339401227,-0.296309912
-0.335626208,-0.042760664
-0.2842896,0.023651193
0.420657718,0.44532733
-4.886625746,-5.97674634
0.227918638,0.191311908
1.963064764,2.361518418
-0.245170102,-0.304390224
-0.506341408,-0.586010514
-0.352660622,-0.793841316
0.531271628,0.340516971
0.085545627,0.236915689
-0.105207929,0.074083332
-0.276941711,-0.199345523
0.056341816,0.215597538
-0.131461952,-0.032222909
0.459115423,0.197354039
-0.397009288,-0.41369211
0.079396543,-0.004702904
-0.413732269,-0.378417065
0.278025439,0.392338025
-0.370752932,0.088022966
-0.20172382,-0.148861034
-0.25626095,-0.133922893
-0.492890372,-0.078689612
-2.882771486,-2.506647946
0.291510508,0.236971159
-0.030109548,-0.387371784
0.463733183,-0.000120853
0.157855099,0.148866484
-0.347477859,-0.561444722
-0.547800966,-0.401243089
-0.204526935,-0.086026293
0.228806354,-0.101474285
-0.40876327,-0.506921175
0.14065469,0.09477737
0.873008722,0.817897956
0.335668245,0.149490372
-0.187146993,-1.029311052
-0.256968865,-0.415618637
0.091516002,0.368719597
0.029386558,0.081074779
0.059260744,-0.168867318
-1.644939802,-0.022063063
0.377772391,-0.334936406
-0.203227163,1.280038915
-0.093785053,-0.000624707
0.219811861,0.238567057
1.253856242,1.154956686
0.254854442,0.197071867
-0.390257261,0.200098426
-0.390810189,-0.443830545
-0.414484297,0.092332152
-0.099573583,-0.054029196
0.314246865,0.298245804
-0.042746747,-0.129923467
-0.039888011,0.477525977
-0.182773044,0.072590945
2.035934869,1.899174287
1.026777584,0.9953086
-0.206046912,0.003780505
0.167032819,0.0274676
0.039375752,0.231493629
0.108548422,0.02659256
0.303415147,-0.098731706
0.163239276,0.275345983
-1.313731783,-0.962208133
-0.265378468,-0.358593439
-0.046973738,0.392497707
-0.153939768,-0.046853186
0.313296621,0.107477538
0.233352347,0.243239387
0.089582717,0.464060352
0.294561209,0.542548991
-0.372542314,-0.34898302
-0.226741299,-0.145467065
0.066878321,-0.076747235
-0.191030658,-0.222755257
0.264907784,0.327295184
-0.246853371,-0.134521508
0.313314348,0.644937905
1.257057242,1.512925798
0.061689717,-0.02572395
-0.268709963,-0.235711661
0.024673074,-0.06040584
-0.089634619,-0.496647558
-0.189154645,-0.184567694
0.395006194,-0.155448355
0.138316868,0.031727357
0.401656986,0.592975249
0.365368358,0.145617042
0.767680353,0.985728509
-0.445234438,0.265922099
0.291932193,0.101047325
0.023558636,0.02908476
-0.364484587,-0.507811955
0.263417479,0.767311889
-0.175441991,-0.21209172
-0.224211506,0.262467182
-0.969292287,-0.867868124
-0.213766433,0.002793455
0.129245783,-0.215612856
-0.028430994,0.413011695
-0.558400417,-0.345135522
-0.189147509,-0.38005793
-0.151029153,0.252592858
0.873890293,1.030239533
-0.607561117,-0.149449332
-0.07379821,-0.227866429
0.009956375,0.045079296
0.046639689,0.072086186
-0.027930921,0.076223318
0.298801395,0.264161404
-0.788244158,-0.439565032
-0.583832179,-0.193013255
0.60270167,0.278388455
0.066872214,-0.206671016
-0.092223816,-0.029126164
0.018613915,0.033096334
0.001746751,-0.039138663
-0.173544432,-0.038240103
0.175115587,-0.129691795
-0.537895953,-0.262372411
0.234913328,0.360785947
0.016160468,-0.38579565
-0.031937291,-0.221908619
0.464725392,0.754269178
0.151618009,0.360862194
0.290581935,0.441929552
0.28763043,0.14589992
1.045837947,1.249522376
0.164354203,0.153742218
-0.68934792,-0.704400421
-0.307813855,-0.453533745
-0.610453147,-0.083496601
-0.266651776,-0.120170349
-0.248614073,-0.167658741
0.318477713,-0.093215398
-0.651867489,-0.846829308
-0.439998339,-0.653501336
-0.444185734,-0.553446134
0.100541974,0.010042513
-0.137910356,-0.103353202
-0.069340713,0.044651763
0.161342801,0.318692272
0.045255371,-0.047112385
-0.083352851,-0.202906412
0.29190912,0.172223876
-0.483647734,-0.362889751
-0.418252387,-0.417129931
-0.082287821,-0.220214711
0.125190785,0.210016946
-0.473864413,-0.366289444
-0.239318836,-0.275531371
-0.457994131,-0.382066905
-0.171451862,-0.157980828
-0.529144477,-1.028732602
0.532247388,0.532747158
-0.468302133,-0.176712698
-0.021958922,0.010450461
0.356883829,0.064277135
0.173087324,0.439287023
0.959063443,0.428668672
-0.69111823,0.049393698
-0.708545245,-0.621155591
0.702212878,0.686039047
0.779095734,0.587637694
0.591197867,1.134982045
-0.107200414,0.128458204
-0.943330444,-2.143460507
0.051321363,-0.056050337
-0.23667768,-0.240604174
0.125027639,0.009592647
-0.298375719,-0.363474289
-0.172646154,-0.552311779
1.032860305,1.076985083
-0.108571016,-0.258438016
1.183190312,0.737239703
2.97054607,3.843072061
0.051991788,0.069621894
-0.025555203,-0.938042407
0.170979111,0.240832435
-0.131064082,-0.065923031
0.103700307,0.056647074
